# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2006-06-30;4.4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2006-07-31;4.3;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2006-08-31;4.4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2006-09-30;4.4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2006-10-31;4.5;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2006-11-30;4.3;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2006-12-31;3.7;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-01-31;3.9;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-02-28;4.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-03-31;4.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-04-30;4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-05-31;4.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-06-30;3.9;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-07-31;4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-08-31;4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-09-30;3.8;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-10-31;4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-11-30;4.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2007-12-31;3.5;
