# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2014-09-30;0.9;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2014-12-31;0.5;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2015-03-31;1.8;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2015-06-30;1.6;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2015-09-30;1.7;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2015-12-31;1.3;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2016-03-31;1.1;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2016-06-30;1.5;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2016-09-30;2.4;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2016-12-31;3.0;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2017-03-31;3.7;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2017-06-30;3.5;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2017-09-30;3.1;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2017-12-31;2.9;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2018-03-31;2.5;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2018-06-30;3.2;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2018-09-30;3.2;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2018-12-31;2.9;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2019-03-31;3.2;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2019-06-30;2.7;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2019-09-30;2.4;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2019-12-31;2.7;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2020-03-31;-2.4;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2020-06-30;-17.6;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2020-09-30;-6.1;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2020-12-31;-6.6;
